"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1987124,366272,144556,"CERBERUS 9990 LEVERED LOAN OPPORTUNITIES FUND, L.P.",805-7953213446,"","Cayman Islands","N","Y"
1987124,366271,144555,"CERBERUS AWCO DOMESTIC FEEDER, L.P.",805-6769017560,"Delaware","United States","N","Y"
1987124,245185,132771,"CIREP V OVERSEAS FEEDER, L.P.",805-4502256408,"","Cayman Islands","N","Y"
1987124,66881,123824,"CERBERUS SWC LEVERED LOAN OPPORTUNITIES FUND, LTD.",805-1038884384,"","Cayman Islands","N","Y"
1987124,211074,125615,"CERBERUS AUS SA LEVERED LOAN OPPORTUNITIES FUND, LTD.",805-8941053981,"","Cayman Islands","N","Y"
1987124,485670,152638,"CERBERUS RPL FOO OVERSEAS FEEDER, L.P.",805-3259846858,"Delaware","United States","N","Y"
1987124,279566,137011,"CIP VII AIV, S.C.A. SICAV-RAIF",805-9504459911,"","Luxembourg","N","Y"
1987124,64048,123790,"CERBERUS AD PARTNERS FEEDER FUND, LTD.",805-3370496923,"","Cayman Islands","N","Y"
1987124,268582,135843,"CIP6 AIV II, S.C.A. SICAV-RAIF",805-5953035485,"","Luxembourg","N","Y"
1987124,281950,137324,"CIP VII, S.C.SP.",805-9428001034,"","Luxembourg","N","Y"
1987124,437273,150369,"CERBERUS TIGER SENIOR LOAN FUND, L.P.",805-9176335428,"","Cayman Islands","N","Y"
1987124,437277,150370,"CERBERUS EU UNLEVERED LOAN OPPORTUNITIES FUND V, SCSP",805-4573665419,"","Luxembourg","N","Y"
1987124,223885,134763,"CIREP OVERSEAS PARK CENTRAL, LLC",805-7303928164,"Delaware","United States","N","Y"
1987124,196277,123799,"CERBERUS CORNERSTONE HOMES FEEDER FUND, L.P.",805-9208330329,"Delaware","United States","N","Y"
1987124,252089,133991,"CERBERUS CMBS PARALLEL FEEDER FUND, LTD.",805-5825406874,"","Cayman Islands","N","Y"
1987124,249175,133603,"CERBERUS RESIDENTIAL INCOME FUND A, L.P.",805-5100695275,"","Cayman Islands","N","Y"
