FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1995063,"","","Y","","","","","","","",
1995064,"","","Y","","","","","","","",
1995065,"","","Y","","","","","","","",
1995066,"","","Y","","","","","","","",
1995071,"","","Y","","","","","","","",
1995075,"","","Y","","","","","","","",
1995076,"","","Y","","","","","","","",
1995079,"","","Y","","","","","","","",
1995081,"","","Y","","","","","","","",
1995082,"","","Y","","","","","","","",
1995083,"","Y","","","","","","","","",2024
1995085,"","","Y","","","","","","","",
1995092,"Y","","","","","","","","","Y",
1995094,"","","Y","","","","","","","",
1995095,"","","Y","","","","","","","",
1995098,"","","Y","","","","","","","",
1995099,"","","Y","","","","","","","",
1995100,"","","Y","","","","","","","",
1995103,"","","","","","","Y","","","",
1995104,"","","Y","","","","","","","",
1995112,"Y","","","","","","","","","",
1995115,"","","Y","","","","","","","",
1995116,"","","Y","","","","","","","",
1995122,"","","Y","","","","","","","",
1995123,"","","","","","Y","","","","",2025
1995125,"","","Y","","","","","","","",
1995132,"","","Y","","","","","","","",
1995133,"","","Y","","","","","","","",
1995134,"","","Y","","","","","","","",
1995136,"","","Y","","","","","","","",
1995138,"","","Y","","","","","","","",
1995140,"","","Y","","","","","","","",
1995143,"","","Y","","","","","","","",
1995144,"","","Y","","","","","","","",
1995145,"","","Y","","","","","","","",
1995146,"","","Y","","","","","","","",
1995147,"","","Y","","","","","","","",
1995148,"","","Y","","","","","","","",
1995151,"","","Y","","","","","","","",
1995159,"","","Y","","","","","","","",
1995164,"","","Y","","","","","","","",
