"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
2006763,482878,"WILMINGTON TRUST, NATIONAL ASSOCIATION","WILMINGTON TRUST","WILMINGTON","Delaware","United States","N","",2549003YW3T6PERKZM60
2006763,482867,"J.P. MORGAN SE - DUBLIN BRANCH","J.P. MORGAN SE - DUBLIN BRANCH","DUBLIN","","Ireland","N","",
2006763,173150,"U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","CHICAGO","Illinois","United States","N","",5493001WC5CQQI9L9G80
2006763,25434,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NY","New York","United States","N","8-35008",
2006763,360445,"U.S. BANK NATIONAL ASSOCIATION","U.S. BANK NATIONAL ASSOCIATION","CHICAGO","Illinois","United States","N","",5493001WC5CQQI9L9G80
2006763,360453,"DEUTSCHE BANK TRUST COMPANY AMERICAS","DEUTSCHE BANK TRUST COMPANY AMERICAS","SANTA ANA","California","United States","N","",8EWQ2UQKS07AKK8ANH81
2006763,70330,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.","COLUMBUS","Ohio","United States","N","",
2006763,27112,"JPMORGAN CHASE BANK, N.A.","JPMORGAN","BROOKLYN","New York","United States","N","",8I5DZWZKVSZI1NUHU748
2006763,303354,"J.P. MORGAN CHASE, NA","J.P. MORGAN CHASE, NA","NEW YORK","New York","United States","N","",
2006763,27090,"JPMORGAN CHASE BANK, N.A.","JPMORGAN","BROOKLYN","New York","United States","N","",8I5DZWZKVSZI1NUHU748
2006763,251925,"STATE STREET CUSTODIAL SERVICES (IRELAND)","STATE STREET CUSTODIAL SERVICES (IRELAND)","DUBLIN","","Ireland","N","",549300WXPZHMNQNPYL49
