"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1932470,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","BOSTON","MA","USA","N","8-23292","",386376522
1932470,"GOLDMAN SACHS & CO. LLC.","FOLIOFN","NEW YORK","NY","USA","N","","",75519713
1932470,"KINGDOM TRUST CO","KINGDOM TRUST CO","MURRAY","KY","USA","N","","",4217973
1932470,"SECURITY BENEFIT","SECURITY BENEFIT","TOPEKA","KS","USA","N","","",26307
1932470,"NUVIEW TRUST CO","NUVIEW TRUST CO","LONGWOOD","FL","USA","N","","",1406415
1932470,"NATIONWIDE TRUST COMPANY","NATIONWIDE TRUST COMPANY","COLUMBUS","OH","USA","N","","",6093963
1932470,"MORNINGSTAR","BYALLACCOUNTS","CHICAGO","IL","USA","N","","",21697027
1932484,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",231592054
1932484,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",120826824
1928057,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",179698549
1930568,"THE BANK OF NOVA SCOTIA TRUST COMPANY","SCOTIATRUST","TORONTO, ONTARIO","","CAN","Y","","",624613686
1924386,"E*TRADE SECURITIES LLC","E*TRADE SECURITIES LLC","CENTENNIAL","CO","USA","N","8-44112","549300DXPO50FJ75QA85",201130432
1922906,"BARCLAYS CAPITAL INC.","BARCLAYS CAPITAL INC.","NEW YORK","NY","USA","N","8-41342","",523467080
1922697,"BANK OF AMERICA","BANK OF AMERICA","NEW YORK","NY","USA","N","","",0
1924437,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",178290146
1924037,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",130555609
1922697,"BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","PITTSBURGH","PA","USA","N","","",156682959
1922697,"STATE STREET BANK","STATE STREET BANK","BOSTON","MA","USA","N","","",589775141
1922697,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SAN FRANCISCO","CA","USA","N","","",0
1921400,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",648418770
1924438,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","BOSTON","MA","USA","N","8-23292","",87922773
1924405,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",763821607
1924405,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","CT","USA","N","","",0
1921721,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS","NEW YORK","NY","USA","N","","",105469400
1921721,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","NY","USA","N","","",316756181
1921721,"BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","NEW YORK","NY","USA","N","","",428256424
1921721,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.","NEW YORK","NY","USA","N","","",272111671
1924530,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",174316143
1924530,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","EL PASO","TX","USA","N","8-16514","",904657693
1923819,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",208315421
1929784,"CHARLES SCHWAB & CO.INC.","CHARLES SCHWAB","WESTLAKE","TX","USA","N","","",166718581
1931918,"FIDELITY","FIDELTIY","BOSTON","MA","USA","N","","",168300000
1928204,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.","ST. PETERSBURG","FL","USA","N","8-10999","",871627787
1928454,"CIBC MELLON TRUST COMPANY","CIBC MELLON TRUST","TORONTO, ONTARIO","","CAN","Y","","",22278802561
1928454,"RBC INVESTOR SERVICES LTD.","RBC INVESTOR SERVICES","TORONTO, ONTARIO","","CAN","N","","",1942295549
1928454,"CIBC TRUST CORPORATION","CIBC TRUST","TORONTO","","CAN","Y","","254900D4VR7ZKEQW6Z39",1393226308
1932346,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",84450000
1930916,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",265555809
1930916,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",188095859
1932346,"ALTRUIST FINANCIAL LLC","ALTRUIST FINANCIAL LLC","CULVER CITY","CA","USA","N","8-70244","",103109245
1932864,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",127367801
1932864,"FIFTH THIRD BANK","FIFTH THIRD BANK","CINCINNATI","OH","USA","N","","",65066488
1932590,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",37091000
1932826,"JULIUS BAER","JULIUS BAER","MONACO","","MCO","N","","",536156770
1932826,"EDMOND DE ROTHSCHILD","EDMOND DE ROTHSCHILD","MONACO","","MCO","N","","",256341209
1929664,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","","",65614318
1929664,"AXOS ADVISOR SERVICES","AXOS ADVISOR SERVICES","LAS VEGAS","NV","USA","N","","",295400881
1932900,"CITI BANK","CITI BANK","NEW YORK","NY","USA","N","","",75000000
1928669,"WELLS FARGO CLEARING SERVICES, LLC","WELLS FARGO CLEARING SERVICES, LLC","ST. LOUIS","MO","USA","N","8-37180","",337916530
1932469,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",90546963
1926442,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",4345093184
1922233,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",699519407
1922233,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","AUSTIN","TX","USA","N","8-26740","",94976287
1923140,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","BOSTON","MA","USA","N","8-17668","",3198202190
1922475,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","USA","N","","571474TGEMMWANRLN572",2223796938
1922475,"THE BANK OF NEW YORK MELLON","BNY MELLON, SINGAPORE BRANCH","SINGAPORE","","SGP","N","","",866318562
1922475,"CITIBANK-HONG KONG","CITIBANK (HONG KONG) LIMITED","HONG KONG","","HKG","N","","8KA1PQPA9THGG1BNCT31",2554297650
