"FilingID","ReferenceID","Private Fund Name","Fund ID"
1978593,478226,"SOF-XIII VIP TE, L.P.",805-3724722619
1978593,478226,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1978593,201868,"STARWOOD OPPORTUNITY FUND XI INVESTOR KT, L.P.",805-1568681018
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1978593,201868,"SOF-XI VIP OFFSHORE, L.P.",805-1753258765
1978593,186198,"SOF-XI VIP TE, L.P.",805-6701546422
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV II L.P.",805-1522577493
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KT, L.P.",805-1568681018
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE AGGREGATOR AIV, L.P.",805-8642221448
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV I, L.P.",805-4634038116
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV I L.P.",805-9809677362
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR KA, L.P.",805-3901103275
1978593,480596,"STARWOOD OPPORTUNITY FUND XI U.S. INSTITUTIONAL MAR AGGREGATOR AIV, L.P.",805-5154382986
1978593,276962,"SOF-12 INTERNATIONAL S SCSP",805-7417222657
1978593,276961,"STARWOOD OPPORTUNITIES FUND 12 AIV LP",805-2961235605
1978593,276961,"SOF-12 AIV FEEDER 2 LP",805-7546056235
1978593,307469,"SOF-12 INTERNATIONAL S SCSP",805-7417222657
1978593,307469,"SOF-XII 892/NON-U.S. NON-REIT FEEDER, L.P.",805-1388454290
1978593,255629,"SOF-XII INTERNATIONAL BLOCKER, L.P.",805-2189363586
1978593,276962,"SOF-XII FEEDER KA, L.P.",805-7969984110
1978593,255642,"SOF-XII FEEDER KA, L.P.",805-7969984110
1978593,255668,"STARWOOD COLLABORATIVE MANAGED ACCOUNT (CMA), L.P.",805-1883236010
1978593,177945,"SCG ATLAS CO-INVEST INVESTOR, L.P.",805-8592822150
1978990,426670,"JAIN GLOBAL ONSHORE FUND LP",805-5299196255
1978990,426670,"JAIN GLOBAL OFFSHORE INTERMEDIATE FUND LTD",805-3119364653
